Date,URI US Equity,AGCO US Equity,ATKR US Equity,CNHI US Equity ,TEX US Equity,PCAR US Equity,RS US Equity,CMI US Equity,GTES US Equity,KMT US Equity,MMM US Equity,AYI US Equity,CAT US Equity,DE US Equity,FLS US Equity,JCI US Equity,CARR US Equity,DOV US Equity,NVT US Equity,ALLE US Equity,LII US Equity,PH US Equity,GWW US Equity,HUBB US Equity,HON US Equity,IR US Equity,TT US Equity,ETN US Equity,FTV US Equity,OTIS US Equity,EMR US Equity,SWK US Equity,ITW US Equity,FAST US Equity,ROK US Equity,KNX US Equity,WERN US Equity
11/30/2014,14.456,13.062,#N/A N/A,12.568,10.634,15.755,11.828,13.853,#N/A N/A,12.928,19.914,28.055,15.006,14.868,14.612,15.909,#N/A N/A,12.112,#N/A N/A,18.627,18.027,15.885,18.687,18.786,15.878,#N/A N/A,13.326,13.815,#N/A N/A,#N/A N/A,15.973,15.769,18.574,24.197,17.11,17.952,21.059
12/31/2014,12.696,15.511,#N/A N/A,12.86,10.341,15.864,11.372,13.712,#N/A N/A,12.674,20.423,27.072,13.731,16.056,15.216,16.284,#N/A N/A,11.836,#N/A N/A,19.217,18.449,15.886,19.429,18.792,16.101,#N/A N/A,13.389,13.821,#N/A N/A,#N/A N/A,15.557,16.126,18.456,25.433,16.506,17.602,21.062
1/31/2015,10.126,14.233,#N/A N/A,12.867,8.623,13.686,9.458,12.806,#N/A N/A,16.433,19.865,26.944,16.485,15.447,14.276,14.431,#N/A N/A,11.703,#N/A N/A,18.136,18.112,14.325,17.914,18.738,15.21,#N/A N/A,13.38,12.664,#N/A N/A,#N/A N/A,14.522,15.431,17.755,23.173,16.322,14.405,18.011
2/28/2015,11.379,16.884,#N/A N/A,15.213,12.493,14.653,12.038,13.98,#N/A N/A,18.258,20.615,28.315,17.369,17.43,16.528,15.864,#N/A N/A,12.164,#N/A N/A,20.879,19.218,15.093,18.1,20.501,15.991,#N/A N/A,13.797,14.489,#N/A N/A,#N/A N/A,15.417,16.39,18.881,21.777,17.634,16.503,19.981
3/31/2015,11.178,16.21,#N/A N/A,14.691,12.164,14.445,13.104,13.659,#N/A N/A,17.685,20.214,28.358,16.778,16.961,15.169,16.134,#N/A N/A,11.773,#N/A N/A,22.179,20.588,14.664,18.221,19.748,16.266,#N/A N/A,13.987,13.911,#N/A N/A,#N/A N/A,15.123,16.022,18.581,22.181,17.511,15.184,19.57
4/30/2015,11.133,17.216,#N/A N/A,14.582,11.427,14.251,13.26,13.339,#N/A N/A,16.862,19.1,28.206,20.394,17.604,15.73,15.293,#N/A N/A,13.957,#N/A N/A,20.927,18.851,15.79,19.063,18.97,15.434,#N/A N/A,13.191,14.119,#N/A N/A,#N/A N/A,16.238,16.093,17.913,22.479,17.945,13.832,16.158
5/31/2015,10.263,17.04,#N/A N/A,14.748,10.206,13.843,12.999,13.083,#N/A N/A,17.37,19.438,29.727,20.089,18.554,16.148,15.865,#N/A N/A,13.933,#N/A N/A,21.472,20.032,15.995,18.451,19.033,15.933,#N/A N/A,13.834,14.746,#N/A N/A,#N/A N/A,17.665,16.741,17.975,21.963,18.485,13.388,16.608
6/30/2015,10.144,19.054,#N/A N/A,15.43,9.773,13.879,12.258,12.662,#N/A N/A,18.024,18.935,28.614,19.972,19.218,15.608,15.241,#N/A N/A,12.972,#N/A N/A,20.561,19.179,15.457,18.339,19.094,15.599,#N/A N/A,13.561,13.91,#N/A N/A,#N/A N/A,16.308,17.16,17.557,22.317,18.65,13.038,15.842
7/31/2015,8.424,18.616,#N/A N/A,14.312,10,13.504,12.779,12.203,#N/A N/A,17.232,18.335,31.94,19.618,18.727,14.196,14.864,#N/A N/A,13.073,#N/A N/A,20.102,19.971,14.775,17.941,19.018,15.678,#N/A N/A,12.111,12.616,#N/A N/A,#N/A N/A,15.035,16.665,16.59,21.511,17.191,13.061,16.277
8/31/2015,8.619,16.512,#N/A N/A,12.881,10.653,12.266,12.238,11.492,#N/A N/A,16.758,17.214,30.897,19.081,18.141,13.89,14.283,#N/A N/A,12.669,#N/A N/A,19.112,19.966,15.473,17.631,17.979,14.871,#N/A N/A,10.923,12.14,#N/A N/A,#N/A N/A,14.719,16.073,15.729,19.99,16.475,10.691,15.268
9/30/2015,7.369,15.669,#N/A N/A,10.988,8.132,10.947,11.703,10.407,#N/A N/A,13.698,17.268,26.175,18.416,16.488,12.705,13.388,#N/A N/A,11.744,#N/A N/A,18.34,19.179,14.126,17.043,15.451,14.145,#N/A N/A,10.102,11.111,#N/A N/A,#N/A N/A,13.595,15.36,15.359,19.048,15.053,9.561,14.492
